constellation name,star name,nomenclature name,equinox,right ascension hours,right ascension minutes,right ascension seconds,declination degrees,declination minutes,declination seconds,motion in right ascension,motion in declination,radial velocity,annual parallax,magnitude,Durchmusterung zone 1900,Durchmusterung number,
Aquarius,Situla,kaAqr,ICRS,22,37,45.381,-4,13,41.001,-0.455733333,-12.047,8.2,0.01392,5.03,-4,5716,
Aquarius,Hydor,laAqr,ICRS,22,52,36.8759,-7,34,46.557,0.130066667,3.271,-8.8,0.00833,3.74,-8,5968,
Aquarius,Ekkhysis,laAqr,ICRS,22,52,36.8759,-7,34,46.557,0.130066667,3.271,-8.8,0.00833,3.74,-8,5968,
Aquarius,,muAqr,ICRS,20,52,39.2336,-8,58,59.944,0.313733333,-3.291,-9.1,0.02101,4.73,-9,5598,
Aquarius,Albulaan,nuAqr,ICRS,21,9,35.6477,-11,22,18.095,0.6154,-1.576,-11.8,0.01993,4.51,-11,5538,
Aquarius,,ome-2Aqr,ICRS,23,42,43.3441,-14,32,41.657,0.655666667,-6.678,3,0.02116,4.49,-15,6476,
Aquarius,,phAqr,ICRS,23,14,19.3597,-6,2,56.41,0.308133333,-19.585,-0.4,0.01468,4.22,-6,6170,
Aquarius,Seat,piAqr,ICRS,22,25,16.6232,1,22,38.642,0.122533333,0.335,4,0.00296,4.66,0,4872,
Aquarius,,ps-1Aqr,ICRS,23,15,53.4947,-9,5,15.853,2.457066667,-1.702,-26.4,0.02197,4.21,-9,6156,
Aquarius,,ps-3Aqr,ICRS,23,18,57.6767,-9,36,38.7,0.2898,-0.78,-10,0.0131,4.98,-10,6094,
Aquarius,,siAqr,ICRS,22,30,38.8161,-10,40,40.62,0.011933333,-2.626,11,0.01229,4.82,-11,5850,
Aquarius,,ta-2Aqr,ICRS,22,49,35.5023,-13,35,33.475,-0.083866667,-3.88,1,0.00858,4.01,-14,6354,
Aquarius,Ancha,thAqr,ICRS,22,16,50.0364,-7,46,59.845,0.793,-2.191,-14.7,0.01704,4.16,-8,5845,
Aquarius,,upAqr,ICRS,22,34,41.6369,-20,42,29.577,1.477333333,-14.658,-1.9,0.04397,5.2,-21,6251,
Aquarius,Bunda,xiAqr,ICRS,21,37,45.1093,-7,51,15.125,0.761933333,-2.444,-18,0.01826,4.69,-8,5701,
Aquarius,Sadaltager,ze-1Aqr,ICRS,22,28,49.912,0,1,11.9,1.273333333,3.7,28.9,0,4.5,0,0,
